title,title_en,author,rating,status,goodreads_work_id,matched_title
451 по фаренгейту,Fahrenheit 451,Ray Bradbury,8,read,1272463,Fahrenheit 451
1984,1984,George Orwell,9,read,153313,1984
Скотный двор,Animal Farm,George Orwell,9,read,2207778,Animal Farm
Робинзон Крузо,Robinson Crusoe,Daniel Defoe,7,read,604666,Robinson Crusoe
Мартин Иден,Martin Eden,Jack London,9,read,1702482,Martin Eden
Цветы для Элджернона,Flowers for Algernon,Daniel Keyes,10,read,3337594,Flowers for Algernon
Сияние,The Shining,Stephen King,7,read,849585,The Shining
Кладбище домашних животных,Pet Sematary,Stephen King,8,read,150017,Pet Sematary
Голодные игры,The Hunger Games,Suzanne Collins,7,read,2792775,"The Hunger Games (The Hunger Games, #1)"
Марсианин,The Martian,Andy Weir,6,read,21825181,The Martian
Старик и море,The Old Man and the Sea,Ernest Hemingway,8,read,69741,The Old Man and the Sea
Норвежский лес,Norwegian Wood,Haruki Murakami,4,read,2956680,Norwegian Wood
Тёмная материя,Dark Matter,Blake Crouch,8,read,43161998,Dark Matter
Возвращение (Рекурсия),Recursion,Blake Crouch,7,read,,
Ужин,The Dinner,Herman Koch,5,read,6463092,The Dinner
О мышах и людях,Of Mice and Men,John Steinbeck,10,read,40283,Of Mice and Men
Гроздья гнева,The Grapes of Wrath,John Steinbeck,10,read,2931549,The Grapes of Wrath
Десять негритят,And Then There Were None,Agatha Christie,6,read,3038872,And Then There Were None
Граф Аверин,Граф Аверин,Виктор Дашкевич,7,read,,
Собачье сердце,Heart of a Dog,Mikhail Bulgakov,8,read,2470656,Heart of a Dog
Роковые яйца,The Fatal Eggs,Mikhail Bulgakov,7,read,46365,The Fatal Eggs
Мастер и Маргарита,The Master and Margarita,Mikhail Bulgakov,6,read,876183,The Master and Margarita
Маленький принц,The Little Prince,Antoine de Saint-Exupéry,5,read,2180358,The Little Prince
Белые ночи,White Nights,Fyodor Dostoevsky,1,read,4111509,White Nights
На западном фронте без перемен,All Quiet on the Western Front,Erich Maria Remarque,7,read,2662852,All Quiet on the Western Front
Остров сокровищ,Treasure Island,Robert Louis Stevenson,5,read,3077988,Treasure Island
12 стульев,The Twelve Chairs,Ilya Ilf,6,read,152994,The Twelve Chairs
Портрет Дориана Грея,The Picture of Dorian Gray,Oscar Wilde,7,read,1858012,The Picture of Dorian Gray
Бойня номер пять,Slaughterhouse-Five,Kurt Vonnegut,5,read,1683562,Slaughterhouse-Five
Странник по звёздам,The Star Rover,Jack London,7,read,1001804,The Star Rover
Вино из одуванчиков,Dandelion Wine,Ray Bradbury,,dnf,1627774,"Dandelion Wine (Green Town, #1)"
Горе от ума,Woe from Wit,Alexander Griboyedov,,dnf,93879,Горе от ума
Бесцветный Цкуру Тадзаки и годы его странствий,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,6,read,24593525,Colorless Tsukuru Tazaki and His Years of Pilgrimage
Мы,We,Yevgeny Zamyatin,5,read,2144026,We
Записки юного врача,A Young Doctor's Notebook,Mikhail Bulgakov,8,read,2709608,A Country Doctor's Notebook
Морфий,Morphine,Mikhail Bulgakov,7,read,217162,Morphine
Сиддхартха,Siddhartha,Hermann Hesse,10,read,4840290,Siddhartha
Путешествие к земле Востока,The Journey to the East,Hermann Hesse,5,read,1528180,The Journey to the East
